Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0.0,0,Insert,1696612,B,200,3488,GFD
0.0,0,Insert,1992925,B,200,3488,GFD
0.0,0,Insert,1553984,B,100,3493,GFD
0.0,0,Insert,1540391,B,100,3507,GFD
0.0,0,Insert,1960736,A,400,3520,GFD
0.0,0,Insert,1921700,A,1900,3521,GFD
0.0,0,Insert,1992698,A,600,3521,GFD
0.0,0,Insert,1652301,A,600,3516,GFD
0.0,0,Insert,1711057,B,100,3494,GFD
0.0,0,Insert,1712741,A,600,3519,GFD
0.0,0,Insert,1731288,B,500,3493,GFD
0.0,0,Insert,1550030,B,100,3489,GFD
0.0,0,Insert,1417479,B,500,3494,GFD
0.0,0,Insert,1739666,A,4100,3517,GFD
0.0,0,Insert,1424709,B,100,3505,GFD
0.0,0,Insert,1437277,B,100,3491,GFD
0.0,0,Insert,1997379,A,600,3517,GFD
0.0,0,Insert,1893175,B,400,3483,GFD
0.0,0,Insert,1767120,B,200,3493,GFD
0.0,0,Insert,1552865,A,200,3523,GFD
0.0,0,Insert,1709480,B,600,3505,GFD
0.0,0,Insert,1880803,B,100,3489,GFD
0.0,0,Insert,1462880,B,600,3508,GFD
0.0,0,Insert,1764278,B,100,3497,GFD
0.0,0,Insert,1755786,B,100,3499,GFD
0.0,0,Insert,1449361,B,100,3489,GFD
0.0,0,Insert,1693674,A,100,3516,GFD
0.0,0,Insert,1886291,B,200,3487,GFD
0.0,0,Insert,1499295,B,100,3498,GFD
0.0,0,Insert,1960718,B,200,3488,GFD
0.0,0,Insert,1870069,B,100,3504,GFD
0.0,0,Insert,1397947,B,100,3489,GFD
0.0,0,Insert,1639182,B,200,3476,GFD
0.0,0,Insert,1978433,B,200,3487,GFD
0.0,0,Insert,1975303,B,600,3504,GFD
0.0,0,Insert,1593223,B,100,3494,GFD
0.0,0,Insert,1545845,B,600,3503,GFD
0.0,0,Insert,1519534,B,100,3501,GFD
0.0,0,Insert,1396085,B,500,3509,GFD
0.0,0,Insert,1588037,A,600,3523,GFD
0.0,0,Insert,1441592,A,600,3520,GFD
0.0,0,Insert,1904890,B,600,3507,GFD
0.0,0,Insert,1786507,B,400,3501,GFD
0.0,0,Insert,1511245,A,4900,3516,GFD
0.0,0,Insert,1759986,B,400,3496,GFD
0.0,0,Insert,1729652,B,100,3505,GFD
0.0,0,Insert,1507159,B,200,3487,GFD
0.0,0,Insert,1959976,B,100,3493,GFD
0.0,0,Insert,1941997,B,1000,3499,GFD
0.0,0,Insert,1717325,A,600,3515,GFD
0.0,0,Insert,1996515,A,600,3518,GFD
0.0,0,Insert,1966730,A,600,3524,GFD
0.0,0,Insert,1671294,B,600,3509,GFD
0.0,0,Insert,1821322,B,400,3491,GFD
0.0,0,Insert,1713424,B,100,3497,GFD
0.0,0,Insert,1835417,A,600,3522,GFD
0.0,0,Insert,1716673,B,500,3511,GFD
0.0,0,Insert,1925135,B,200,3488,GFD
0.0,0,Insert,1893554,B,100,3508,GFD
0.0,0,Insert,1913841,B,100,3507,GFD
0.0,0,Insert,1786042,B,200,3487,GFD
0.0,0,Insert,1688439,B,100,3497,GFD
0.0,0,Insert,1574297,B,600,3506,GFD
0.0,0,Insert,1405174,B,100,3505,GFD
0.0,0,Insert,1515691,B,100,3491,GFD
0.0,0,Insert,1700552,B,500,3513,GFD
0.0,0,Insert,1447432,B,100,3489,GFD
0.0,0,Insert,1556097,B,500,3511,GFD
0.0,0,Insert,1498007,B,200,3493,GFD
0.0,0,Insert,1564258,B,200,3488,GFD
0.0,0,Insert,1391123,B,100,3493,GFD
0.0,0,Insert,1686891,B,100,3501,GFD
0.0,0,Insert,1601660,B,100,3493,GFD
0.044792,1,Insert,5047968,B,81,3513,GFD
0.087711,0,Cancel,1960736,,,,
0.115055,1,Insert,5047969,A,2,3516,GFD
0.161951,1,Insert,5047970,A,34,3512,GFD
0.186113,1,Insert,7057254,A,10000,3517,GFD
0.186113,1,Insert,7057255,B,10000,3512,GFD
0.199876,0,Insert,1628515,A,100,3517,GFD
0.199909,0,Insert,1688032,B,100,3508,GFD
0.334813,0,Insert,1998735,B,100,3515,FAK
0.337378,0,Insert,1494106,B,400,3510,GFD
0.337442,0,Insert,1952690,A,400,3518,GFD
0.439603,0,Insert,1421652,A,100,3515,GFD
0.472251,0,Cancel,1511245,,,,
0.472324,0,Insert,1586141,B,600,3510,GFD
0.472352,0,Cancel,1421652,,,,
0.472377,0,Cancel,1717325,,,,
0.472426,0,Cancel,1652301,,,,
0.472558,0,Cancel,1628515,,,,
0.472607,0,Insert,1496741,B,100,3509,GFD
0.472666,0,Insert,1408059,A,100,3518,GFD
0.499856,0,Cancel,1688032,,,,
0.508013,0,Insert,1436624,A,4900,3516,GFD
0.508075,0,Insert,1814414,A,100,3517,GFD
0.572417,0,Insert,1878020,A,600,3515,GFD
0.582426,0,Insert,1499719,A,600,3516,GFD
0.599854,0,Cancel,1408059,,,,
0.677707,1,Insert,5047971,B,42,3516,GFD
0.691817,1,Cancel,7057254,,,,
0.691817,1,Cancel,7057255,,,,
0.691817,1,Insert,7057256,A,10000,3517,GFD
0.691817,1,Insert,7057257,B,10000,3512,GFD
0.728106,0,Insert,1937902,B,300,3507,GFD
0.734417,1,Insert,5047972,B,70,3513,GFD
0.838111,0,Insert,1627420,B,500,3515,FAK
0.838362,0,Insert,1630476,B,600,3513,GFD
0.838388,0,Cancel,1878020,,,,
0.838427,0,Insert,1996853,B,100,3510,GFD
0.848363,0,Insert,1933639,B,600,3512,GFD
0.858376,0,Insert,1870251,B,600,3511,GFD
0.899857,0,Cancel,1496741,,,,
0.968003,0,Cancel,1693674,,,,
1.103496,1,Cancel,7057256,,,,
1.103496,1,Cancel,7057257,,,,
1.103496,1,Insert,7057258,A,10000,3517,GFD
1.103496,1,Insert,7057259,B,10000,3512,GFD
1.105685,0,Insert,1418001,B,100,3490,GFD
1.302559,0,Insert,1400064,A,100,3519,GFD
1.402556,0,Insert,1605410,A,100,3521,GFD
1.402567,0,Insert,1857056,A,100,3520,GFD
1.402575,0,Insert,1516312,A,100,3522,GFD
1.502514,0,Insert,1622041,A,100,3523,GFD
1.558673,1,Cancel,7057258,,,,
1.558673,1,Cancel,7057259,,,,
1.558673,1,Insert,7057260,A,10000,3517,GFD
1.558673,1,Insert,7057261,B,10000,3512,GFD
1.602504,0,Insert,1654142,A,100,3524,GFD
1.844992,1,Cancel,7057260,,,,
1.844992,1,Cancel,7057261,,,,
1.844992,1,Insert,7057262,A,10000,3517,GFD
1.844992,1,Insert,7057263,B,10000,3512,GFD
2.102499,0,Insert,1406465,B,100,3510,GFD
2.102506,0,Insert,1537482,B,100,3511,GFD
2.202479,0,Insert,1698490,B,100,3509,GFD
2.202491,0,Insert,1856944,B,100,3508,GFD
2.202499,0,Insert,1413771,B,100,3507,GFD
2.255306,1,Insert,5047973,B,98,3514,GFD
2.302484,0,Insert,1982888,B,100,3506,GFD
2.302495,0,Insert,1896759,B,100,3505,GFD
2.302503,0,Insert,1744856,B,100,3504,GFD
2.304468,1,Insert,5047974,B,51,3514,GFD
2.319054,1,Insert,5047975,B,81,3514,GFD
2.402483,0,Insert,1864538,B,100,3503,GFD
2.402493,0,Insert,1813662,B,100,3501,GFD
2.402502,0,Insert,1537645,B,100,3502,GFD
2.495404,1,Insert,5047976,B,25,3516,GFD
2.502482,0,Insert,1606135,B,100,3500,GFD
2.502757,0,Insert,1542495,A,500,3519,GFD
2.503185,0,Insert,1422341,A,4000,3520,GFD
2.503412,0,Amend,1422341,,-3500,,
2.508622,1,Cancel,7057262,,,,
2.508622,1,Cancel,7057263,,,,
2.508622,1,Insert,7057264,A,10000,3517,GFD
2.508622,1,Insert,7057265,B,10000,3512,GFD
2.602484,0,Insert,1839893,A,100,3518,GFD
2.602708,0,Insert,1829276,A,500,3521,GFD
2.953642,0,Insert,1924069,B,500,3511,GFD
2.958256,1,Insert,5047977,B,103,3514,GFD
3.00264,0,Insert,1986057,B,500,3510,GFD
3.00296,0,Insert,1724616,B,500,3509,GFD
3.003098,0,Insert,1565246,B,1000,3508,GFD
3.00317,0,Cancel,1499719,,,,
3.00317,0,Insert,1980608,B,1000,3514,GFD
3.003249,0,Cancel,1996853,,,,
3.003656,0,Insert,1978770,B,1000,3510,GFD
3.003771,0,Cancel,1978770,,,,
3.072077,1,Insert,5047978,A,46,3514,GFD
3.09985,0,Insert,1775241,B,100,3512,GFD
3.101746,1,Cancel,7057264,,,,
3.101746,1,Cancel,7057265,,,,
3.101746,1,Insert,7057266,A,10000,3518,GFD
3.101746,1,Insert,7057267,B,10000,3513,GFD
3.102731,0,Insert,1436433,B,500,3512,GFD
3.102866,0,Insert,1395958,B,500,3509,GFD
3.10296,0,Amend,1565246,,-500,,
3.202482,0,Insert,1731677,B,100,3512,GFD
3.223059,1,Insert,5047979,B,71,3514,GFD
